precinct,ward,long,lat,total_units,occupied,vacant,total_pop,total_hisp,total_nonhisp,white_alone,black_alone,aian_alone,nhpi_alone,asian_alone,other_alone,two_or_more,Green,King,Buckner,Wilson,Johnson,Vallas,Lightfoot,Sawyer,Garcia
1,1,-87.7023022826052,41.9298374469406,1822,1508,314,3279,828,2451,2067,87,5,0,154,16,122,8,5,18,8,248,131,57,1,84
1,2,-87.61579894732589,41.8918822950589,6889,5617,1272,9063,596,8467,5774,428,7,0,1866,64,328,7,3,14,21,39,285,64,7,41
1,3,-87.62132464958273,41.80563835676131,3051,2675,376,5713,163,5550,104,5246,5,0,23,16,156,26,12,6,71,126,45,163,2,13
1,4,-87.59209662878422,41.80095078856708,3795,3313,482,5858,457,5401,2162,2088,1,3,796,32,319,13,25,23,49,268,54,103,3,66
1,5,-87.57318405629883,41.76442726288103,3314,2929,385,6208,124,6084,108,5711,9,3,27,45,181,15,13,4,90,100,35,192,1,29
1,6,-87.63844053413055,41.77501754453328,1638,1343,295,3155,102,3053,23,2955,11,0,2,8,54,9,4,0,79,24,11,52,0,7
1,7,-87.58349751977295,41.763105485365266,2637,2238,399,4979,125,4854,39,4689,6,1,3,19,97,22,11,3,88,88,35,147,3,16
1,8,-87.59028057707468,41.758879563293476,2159,1743,416,4220,165,4055,68,3867,11,1,4,8,96,27,7,1,124,90,37,185,3,17
1,9,-87.63655020837923,41.72562555837321,1075,992,83,2613,45,2568,7,2511,2,0,1,3,44,33,5,4,72,109,31,180,3,10
1,10,-87.5522898231006,41.73981241925916,1443,1065,378,2984,1394,1590,106,1402,6,0,4,9,63,2,1,0,18,13,19,39,0,44
1,11,-87.63464427838956,41.85626120316954,2692,2577,115,5712,252,5460,991,1143,8,1,3125,19,173,2,4,5,18,16,127,23,1,22
1,12,-87.67201384710657,41.82791898072278,1414,1342,72,3689,2471,1218,501,55,3,0,608,1,50,8,3,1,11,57,81,8,1,121
1,13,-87.7396445710124,41.774036292515994,883,847,36,2707,2162,545,375,116,2,0,31,3,18,1,0,2,16,10,86,11,0,116
1,14,-87.70633399290521,41.77465351811323,1974,1804,170,5757,4447,1310,249,986,0,1,22,13,39,4,6,0,34,35,74,30,0,160
1,15,-87.63824660401822,41.81223324255446,880,785,95,2041,434,1607,1263,65,0,0,240,6,33,1,2,0,33,14,242,7,1,35
1,16,-87.65296039189258,41.789489619077486,1890,1362,528,3826,575,3251,36,3128,2,0,1,5,79,11,4,1,87,42,20,113,4,7
1,17,-87.70416853906158,41.766506400784444,1722,1564,158,5631,3893,1738,213,1441,7,0,20,12,45,12,5,1,55,46,56,43,0,106
1,18,-87.66700943032752,41.735115963717625,1746,1633,113,3756,112,3644,13,3556,0,1,1,11,62,10,7,5,123,79,45,228,4,8
1,19,-87.68666864103596,41.70999182895697,1260,1217,43,3321,375,2946,2399,458,1,0,27,8,53,4,3,3,56,51,608,44,1,63
1,20,-87.66629878933807,41.80479441097713,2458,2112,346,7198,6236,962,202,638,3,2,37,20,60,1,1,0,20,19,23,10,0,110
1,21,-87.65361239703695,41.68742489642249,1281,1130,151,3117,97,3020,21,2936,5,0,1,5,52,30,8,4,118,81,53,180,5,19
1,22,-87.73284418613896,41.84923202598562,884,779,105,2212,888,1324,42,1243,7,0,0,6,26,6,1,1,30,26,4,63,0,30
1,23,-87.79887082595906,41.7964993214104,735,718,17,1873,856,1017,846,33,0,0,111,7,20,3,1,2,18,11,233,12,0,41
1,24,-87.74627182422012,41.8695396425226,809,738,71,1922,376,1546,53,1434,3,1,8,7,40,5,0,0,58,37,7,72,0,4
1,25,-87.70631313487964,41.84660945646697,3348,3058,290,9881,9407,474,223,130,8,1,23,13,76,4,1,1,16,47,34,11,0,174
1,26,-87.74381918953372,41.919750960215325,831,774,57,2646,2341,305,162,83,8,0,31,3,18,2,0,1,20,20,46,20,0,86
1,27,-87.65454589143235,41.89085160511862,2437,2238,199,4050,542,3508,2562,450,3,1,342,19,131,17,2,12,18,70,158,49,4,32
1,28,-87.75275472112722,41.8841232691216,1565,1398,167,3853,300,3553,16,3462,2,1,4,16,52,10,2,0,39,24,5,104,2,12
1,29,-87.81083165871753,41.937280697244184,2359,2248,111,6021,2301,3720,3232,138,2,0,223,11,114,4,8,8,61,36,289,34,2,69
1,30,-87.7821932354022,41.9431300363993,1459,1405,54,4246,2035,2211,1723,102,4,0,291,29,62,4,4,6,41,47,213,34,3,91
1,31,-87.73923815620476,41.927982547804355,1356,1243,113,3887,3273,614,382,149,7,1,35,7,33,12,3,2,15,34,75,29,1,105
1,32,-87.68292545082342,41.94479525955211,2229,2058,171,4804,502,4302,3675,66,4,0,280,19,258,7,13,25,15,221,341,71,0,68
1,33,-87.69991235512988,41.95663460239688,2658,2491,167,5951,2497,3454,2567,187,7,2,457,41,193,14,15,19,26,208,245,55,2,144
1,34,-87.66602702535702,41.877965660989034,1983,1840,143,2809,166,2643,1155,1169,3,1,206,9,100,9,6,25,19,84,151,48,1,40
